status,method,sequence_length,decode_tokens,generated_token_ids,prefill_wall_ms,prefill_cuda_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_end_to_end_wall_ms,decode_end_to_end_ms_per_token,decode_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_gpu_tensors,cache_cpu_tensors,theoretical_cache_gib,cache_ratio,h2d_tensor_copies,h2d_gib,d2h_tensor_copies,d2h_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,trial,resident_head_blocks
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1100.346710998565,1100.358642578125,89.4518787972629,89.44879913330078,100.16471360189219,100.16143391927083,90.38415908813477,139.29932098388667,3097.07860276103,99.90576137938807,9.983882626979867,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,1,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1101.3413621112704,1101.330078125,141.4007511921227,141.3982696533203,107.2322007889549,107.22861913045247,99.28890991210938,156.13163681030267,3361.5074888803065,108.43572544775182,9.32586848650375,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,2,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1085.1681432686746,1085.1795654296875,124.22605603933334,124.22351837158203,102.69137192517519,102.6884531656901,91.26697540283203,152.36111145019524,3207.544915843755,103.46919083366951,9.738193235674489,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,3,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1083.8778768666089,1083.8856201171875,128.55135183781385,128.54156494140625,103.03201662997405,103.02821884155273,94.69337463378906,146.22857131958006,3222.437722142786,103.94960394008986,9.706078696147332,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,4,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1120.4032166860998,1120.415771484375,124.35799930244684,124.35558319091797,102.53989421762526,102.53650512695313,98.22212600708008,140.7050086975097,3203.1803098507226,103.32839709195879,9.752624187472295,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,5,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1178.6552048288286,1178.6690673828125,126.34652107954025,126.34220886230469,91.6179495708396,91.61535924275717,87.3699836730957,107.74865493774413,2877.2269408218563,92.813772284576,10.915200336116753,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,6,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1142.5496670417488,1142.561767578125,115.64215319231153,115.63929748535156,107.52987484447658,107.52730560302734,114.3681755065918,114.73250923156738,3343.769954983145,107.86354693494016,9.299963338538689,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,7,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1194.3424292840064,1194.35595703125,116.0586797632277,116.05683135986328,110.14996762387455,110.14752782185873,114.34636688232422,115.48115196228028,3422.7825039997697,110.41233883870225,9.078733038995637,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,8,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1208.0359100364149,1208.0496826171875,126.47769134491682,126.47555541992188,110.29650887163977,110.29405034383139,114.46878433227539,115.14009513854981,3437.6222798600793,110.89104128580901,9.066672199294464,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,9,0
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1207.6442991383374,1207.6583251953125,102.39317920058966,102.390625,109.73316549013059,109.73064193725585,114.41361618041992,115.19246520996094,3396.6587288305163,109.56963641388762,9.113224732356906,15.481187343597412,15.845703125,14.2540864944458,15.8671875,0.008818626403808594,0.48502445220947266,0.49384307861328125,4,220,0.49384307861328125,1.0,6944,15.282660961151123,7164,15.767685413360596,1.9863471984863281,1.9863471984863281,0.0,10,0
